PARK AGENCY,PARK NAME,CLEANLINESS,SAFETY,ACTIVITY,COURTESY,VISIT AGAIN,SURVEY_DATE
EAST,Eugene A. Obregon Park,C,B,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,B,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Eugene A. Obregon Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,B,B,B,B,B,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,B,B,B,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,B,A,,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,,,,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,C,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
EAST,Allen J. Martin Park,A,A,A,A,A,07/27/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,07/27/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Loma Alta Park,A,A,A,A,A,07/27/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,07/27/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,07/27/2015
EAST,Crescenta Valley Community Regional Park,A,A,A,A,A,07/27/2015
SOUTH,Mary M. Bethune County Park,D,C,A,A,A,07/27/2015
REGIONAL,Whittier Narrows Recreation Area,A,A,A,A,A,07/27/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/27/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,A,A,A,07/28/2015
NORTH,El Cariso Community Regional Park,B,B,B,B,A,07/28/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,A,A,A,A,07/28/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,07/28/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,07/28/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,C,B,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,B,B,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/29/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/29/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/29/2015
EAST,Arcadia Community Regional Park,C,C,A,A,C,07/29/2015
GOLF,Santa Anita Golf Course,A,A,B,A,A,07/29/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/29/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,F,F,F,F,F,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/29/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,07/29/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/30/2015
GOLF,Los Amigos Golf Course,A,A,A,A,A,07/30/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/30/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/30/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/30/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,07/30/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/30/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,07/30/2015
EAST,Arcadia Community Regional Park,C,B,A,A,A,07/30/2015
GOLF,Diamond Bar Golf Course,B,B,B,B,B,07/30/2015
NORTH,El Cariso Community Regional Park,A,,A,A,A,07/31/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,07/31/2015
EAST,Michillinda Park,B,B,,C,B,08/01/2015
NORTH,Apollo Community Regional Park,F,F,F,D,F,08/02/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,08/02/2015
REGIONAL,Vasquez Rocks Natural Area and Nature Center,A,A,D,A,A,08/02/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,08/03/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,08/03/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,08/03/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,08/03/2015
SOUTH,Cerritos Community Regional Park,A,A,,,A,08/03/2015
SOUTH,Alondra Community Regional Park,B,C,,,D,08/03/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,08/04/2015
REGIONAL,Castaic Lake State Recreation Area,B,A,A,A,A,08/04/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,08/04/2015
SOUTH,Jesse Owens Community Regional Park,B,B,B,B,B,08/04/2015
GOLF,Whittier Narrows Golf Course,B,A,A,A,A,08/05/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,08/05/2015
EAST,Arcadia Community Regional Park,A,A,A,A,A,08/05/2015
REGIONAL,Descanso Gardens,A,A,A,F,A,08/05/2015
NORTH,Apollo Community Regional Park,D,C,,B,,08/07/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,08/07/2015
GOLF,Chester Washington Golf Course,B,A,A,A,A,08/07/2015
GOLF,Chester Washington Golf Course,A,A,A,,A,08/07/2015
NORTH,El Cariso Community Regional Park,F,C,F,F,F,08/07/2015
GOLF,El Cariso Golf Course,A,A,B,B,B,08/07/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,08/08/2015
SOUTH,Adventure Park,A,A,A,A,A,08/08/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,08/08/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,08/08/2015
GOLF,Chester Washington Golf Course,A,A,,A,A,08/08/2015
GOLF,Chester Washington Golf Course,A,A,A,A,A,08/08/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,08/08/2015
GOLF,Chester Washington Golf Course,A,A,A,A,A,08/08/2015
SOUTH,El Parque Nuestro,B,C,B,A,D,08/09/2015
EAST,Pamela County Park,A,A,A,A,A,08/10/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,,08/10/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,08/10/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,08/10/2015
REGIONAL,Kenneth Hahn State Recreation Area,D,B,,B,A,08/10/2015
EAST,Arcadia Community Regional Park,C,B,A,A,A,08/10/2015
GOLF,Chester Washington Golf Course,C,C,A,A,A,08/10/2015
NORTH,Jackie Robinson Park,B,B,F,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,,A,F,08/11/2015
NORTH,Jackie Robinson Park,A,F,C,A,,08/11/2015
NORTH,Jackie Robinson Park,A,A,A,,,08/11/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,B,B,A,08/11/2015
SOUTH,Jesse Owens Community Regional Park,D,D,,,F,08/11/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,08/11/2015
NORTH,Jackie Robinson Park,A,A,C,A,C,08/11/2015
GOLF,El Cariso Golf Course,A,A,A,A,A,08/11/2015
EAST,Charter Oak Park,,,,F,F,08/12/2015
SOUTH,William Steinmetz Park,A,A,A,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/12/2015
NORTH,Everett Martin Park,A,A,,A,A,08/12/2015
GOLF,Chester Washington Golf Course,A,A,A,A,A,08/12/2015
REGIONAL,Kenneth Hahn State Recreation Area,B,B,,B,A,08/12/2015
SOUTH,Sorensen Park,A,A,A,A,,08/12/2015
SOUTH,Pathfinder Community Regional Park,A,A,A,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/12/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,08/12/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,08/12/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,08/12/2015
SOUTH,Hacienda Heights Community Center,A,A,A,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,B,08/12/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,08/12/2015
GOLF,Chester Washington Golf Course,A,A,,A,A,08/13/2015
GOLF,Knollwood Golf Course,A,A,C,B,D,08/13/2015
REGIONAL,Castaic Lake State Recreation Area,A,C,A,A,A,08/14/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,D,08/14/2015
GOLF,Chester Washington Golf Course,B,B,A,A,A,08/14/2015
GOLF,Alondra Golf Course,A,A,A,A,A,08/14/2015
GOLF,Alondra Golf Course,A,A,A,A,A,08/14/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,08/14/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,,A,08/15/2015
SOUTH,Franklin D. Roosevelt Park,F,C,,F,,08/15/2015
SOUTH,Martin Luther King Jr. Fitness Garden,D,F,,F,F,08/15/2015
GOLF,Alondra Golf Course,A,A,A,A,A,08/16/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/17/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/17/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/17/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/17/2015
REGIONAL,Virginia Robinson Gardens,A,A,A,A,A,08/17/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,C,C,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,B,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,C,A,A,B,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,08/17/2015
NORTH,George Lane Park,A,A,F,A,A,08/17/2015
NORTH,Acton County Park,A,A,A,A,A,08/17/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,08/17/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,08/17/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,08/17/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,08/17/2015
NORTH,West Creek Park,A,A,,A,A,08/17/2015
NORTH,West Creek Park,A,A,A,A,A,08/17/2015
NORTH,West Creek Park,A,A,,A,A,08/17/2015
NORTH,West Creek Park,A,A,A,A,A,08/17/2015
NORTH,West Creek Park,C,A,,A,A,08/17/2015
NORTH,West Creek Park,A,A,A,A,A,08/17/2015
NORTH,Jackie Robinson Park,A,A,,A,A,08/17/2015
EAST,Arcadia Community Regional Park,A,A,A,F,,08/17/2015
SOUTH,Sorensen Park,A,A,A,A,A,08/17/2015
GOLF,Alondra Golf Course,A,B,A,A,A,08/17/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,A,,B,A,08/17/2015
EAST,San Angelo Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,D,F,F,F,F,08/17/2015
EAST,Loma Alta Park,A,,,A,B,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,A,A,B,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,B,B,B,A,A,08/17/2015
EAST,Loma Alta Park,A,A,A,A,A,08/17/2015
EAST,Loma Alta Park,B,B,B,A,A,08/17/2015
EAST,Loma Alta Park,A,A,,A,A,08/17/2015
EAST,Loma Alta Park,A,A,,A,A,08/18/2015
EAST,Loma Alta Park,A,A,A,A,A,08/18/2015
SOUTH,Amigo Park,A,A,A,A,A,08/18/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,08/18/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,08/18/2015
NORTH,Stephen Sorensen Park,B,A,,A,A,08/18/2015
NORTH,Stephen Sorensen Park,B,A,A,A,A,08/18/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,08/18/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,08/18/2015
NORTH,Everett Martin Park,B,A,A,A,A,08/18/2015
NORTH,Everett Martin Park,A,A,A,A,A,08/18/2015
NORTH,Everett Martin Park,A,A,A,A,A,08/18/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,08/18/2015
NORTH,Acton County Park,B,B,,B,A,08/18/2015
NORTH,Acton County Park,A,A,,A,A,08/18/2015
NORTH,Acton County Park,B,B,B,A,A,08/18/2015
NORTH,Acton County Park,A,A,,A,A,08/18/2015
NORTH,Acton County Park,A,A,,A,,08/18/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,A,A,A,08/18/2015
GOLF,Marshall Canyon Golf Course,A,A,A,A,A,08/19/2015
GOLF,Mountain Meadows Golf Course,A,A,A,A,A,08/19/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,08/19/2015
GOLF,Knollwood Golf Course,A,A,A,A,A,08/19/2015
SOUTH,Alondra Community Regional Park,F,D,,D,F,08/19/2015
REGIONAL,San Dimas Canyon Community Regional Park,F,F,,,C,08/19/2015
REGIONAL,Whittier Narrows Recreation Area,B,A,,C,A,08/20/2015
SOUTH,Sorensen Park,A,A,,A,A,08/22/2015
GOLF,Marshall Canyon Golf Course,B,B,A,B,B,08/22/2015
GOLF,Santa Anita Golf Course,A,A,A,A,A,08/22/2015
REGIONAL,Peter F. Schabarum Regional Park,F,,,,,08/24/2015
GOLF,Alondra Golf Course,B,B,A,B,A,08/24/2015
NORTH,Del Valle Park,A,A,,A,A,08/25/2015
GOLF,Alondra Golf Course,A,A,A,A,A,08/26/2015
SOUTH,Sorensen Park,B,B,A,C,A,08/26/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,,A,A,08/28/2015
NORTH,El Cariso Pool,A,F,,B,B,08/29/2015
EAST,Charles S. Farnsworth Park,A,A,,,A,08/29/2015
EAST,Charles White Park,D,F,,F,F,08/29/2015
REGIONAL,Whittier Narrows Recreation Area,F,F,F,F,F,08/29/2015
EAST,Charles S. Farnsworth Park,A,A,,A,A,08/30/2015
REGIONAL,Kenneth Hahn State Recreation Area,C,F,,A,,08/30/2015
SOUTH,Sorensen Park,A,A,B,A,A,08/31/2015
EAST,Loma Alta Park,A,A,A,A,A,08/31/2015
EAST,Ruben F. Salazar Park,,A,F,A,A,08/31/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,F,08/31/2015
EAST,Crescenta Valley Community Regional Park,,,B,A,A,08/31/2015
EAST,Crescenta Valley Community Regional Park,A,A,,A,A,08/31/2015
NORTH,El Cariso Community Regional Park,A,A,B,B,B,09/01/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,09/01/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,A,A,A,09/01/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,A,A,,A,A,09/01/2015
REGIONAL,Whittier Narrows Natural Area and Nature Center,B,B,,A,B,09/01/2015
NORTH,Jackie Robinson Park,A,A,A,A,A,09/01/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/01/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/01/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/01/2015
NORTH,Stephen Sorensen Park,B,A,,A,A,09/01/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,09/01/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,09/01/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,Virginia Robinson Gardens,A,A,,A,F,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,,A,09/01/2015
SOUTH,Alondra Community Regional Park,F,F,F,,A,09/01/2015
NORTH,El Cariso Community Regional Park,B,A,,B,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/01/2015
REGIONAL,William S. Hart Regional Park,B,A,A,A,A,09/01/2015
NORTH,Acton County Park,A,A,,A,A,09/01/2015
NORTH,Acton County Park,A,A,,A,A,09/01/2015
NORTH,Acton County Park,A,A,A,A,A,09/01/2015
NORTH,Acton County Park,A,A,,A,A,09/01/2015
NORTH,Acton County Park,A,A,A,A,A,09/01/2015
NORTH,Acton County Park,A,A,A,A,A,09/01/2015
NORTH,Acton County Park,A,A,A,A,A,09/01/2015
NORTH,Acton County Park,A,A,B,A,A,09/01/2015
NORTH,Jackie Robinson Park,D,C,,D,D,09/02/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,B,A,,,A,09/03/2015
GOLF,Los Verdes Golf Course,A,A,A,A,A,09/03/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,A,A,A,09/05/2015
SOUTH,Mary M. Bethune County Park,B,B,A,A,A,09/05/2015
REGIONAL,Devil's Punchbowl Natural Area and Nature Center,A,A,A,A,A,09/05/2015
SOUTH,Alondra Community Regional Park,A,A,,A,A,09/06/2015
NORTH,Pearblossom County Park,A,A,A,A,A,09/09/2015
NORTH,Pearblossom County Park,A,A,A,,A,09/09/2015
NORTH,Pearblossom County Park,A,A,A,A,A,09/09/2015
NORTH,Pearblossom County Park,A,A,,A,A,09/09/2015
NORTH,Pearblossom County Park,A,A,A,A,A,09/09/2015
NORTH,Pearblossom County Park,A,A,A,A,A,09/09/2015
NORTH,Pearblossom County Park,C,B,,A,B,09/09/2015
NORTH,Pearblossom County Park,A,A,,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
REGIONAL,William S. Hart Regional Park,A,A,A,A,A,09/09/2015
EAST,Belvedere Community Regional Park,A,B,,B,A,09/09/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,09/09/2015
EAST,Belvedere Community Regional Park,A,B,A,A,A,09/09/2015
EAST,Belvedere Community Regional Park,A,A,,B,A,09/09/2015
EAST,Loma Alta Park,A,A,A,A,A,09/09/2015
EAST,Loma Alta Park,A,A,A,A,A,09/09/2015
EAST,Loma Alta Park,A,A,A,A,A,09/09/2015
EAST,Loma Alta Park,A,A,A,A,A,09/09/2015
EAST,Loma Alta Park,A,A,A,A,A,09/09/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,B,B,A,A,A,09/10/2015
NORTH,Apollo Community Regional Park,B,A,A,A,A,09/10/2015
NORTH,Apollo Community Regional Park,B,B,,A,A,09/10/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,09/10/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,09/10/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,09/10/2015
NORTH,Apollo Community Regional Park,A,A,,A,A,09/10/2015
NORTH,Apollo Community Regional Park,A,A,A,A,A,09/10/2015
NORTH,Apollo Community Regional Park,B,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/10/2015
NORTH,Stephen Sorensen Park,A,A,A,B,A,09/10/2015
SOUTH,Lennox Park,B,B,F,B,C,09/10/2015
EAST,Loma Alta Pool,A,A,A,A,A,09/10/2015
SOUTH,Carolyn Rosas Park,A,A,A,A,A,09/10/2015
SOUTH,Rowland Heights Park,B,B,A,A,,09/10/2015
SOUTH,Col. Leon H. Washington Park,B,D,,C,F,09/12/2015
REGIONAL,Santa Fe Dam Recreational Area,A,A,A,A,A,09/12/2015
SOUTH,Franklin D. Roosevelt Park,A,F,C,C,A,09/13/2015
NORTH,Jackie Robinson Park,F,F,F,F,F,09/14/2015
NORTH,Everett Martin Park,C,A,A,A,A,09/14/2015
NORTH,Everett Martin Park,A,A,C,A,A,09/14/2015
NORTH,George Lane Park,A,A,A,A,A,09/14/2015
NORTH,George Lane Park,B,A,A,A,A,09/14/2015
NORTH,George Lane Park,B,A,B,A,A,09/14/2015
NORTH,George Lane Park,B,A,B,A,A,09/14/2015
REGIONAL,Kenneth Hahn State Recreation Area,A,A,,,A,09/14/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,A,09/14/2015
SOUTH,Ladera Park,A,A,,A,B,09/14/2015
SOUTH,Cerritos Community Regional Park,B,B,B,A,A,09/14/2015
SOUTH,Franklin D. Roosevelt Park,A,A,A,A,A,09/14/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,A,09/14/2015
REGIONAL,Whittier Narrows Recreation Area,C,F,C,F,C,09/15/2015
EAST,Loma Alta Park,A,A,A,A,A,09/15/2015
NORTH,Stephen Sorensen Park,A,A,A,A,A,09/15/2015
NORTH,George Lane Park,A,A,,A,A,09/15/2015
NORTH,George Lane Park,A,A,A,A,A,09/15/2015
NORTH,George Lane Park,A,A,,A,A,09/15/2015
NORTH,George Lane Park,A,A,,A,A,09/15/2015
NORTH,George Lane Park,A,A,A,A,A,09/15/2015
NORTH,George Lane Park,A,A,,A,A,09/15/2015
NORTH,George Lane Park,A,A,A,A,A,09/15/2015
NORTH,George Lane Park,A,A,,A,A,09/15/2015
NORTH,George Lane Park,C,C,C,C,B,09/15/2015
NORTH,George Lane Park,A,A,,A,A,09/15/2015
NORTH,George Lane Park,A,B,,B,A,09/15/2015
EAST,Loma Alta Park,B,B,,B,A,09/15/2015
EAST,Loma Alta Park,A,,A,A,A,09/15/2015
SOUTH,Cerritos Community Regional Park,B,B,,A,A,09/15/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,A,09/15/2015
SOUTH,Cerritos Community Regional Park,A,A,A,A,A,09/15/2015
REGIONAL,Whittier Narrows Recreation Area,B,F,B,F,D,09/18/2015
SOUTH,Cerritos Community Regional Park,B,A,A,A,A,09/18/2015
REGIONAL,Placerita Canyon Natural Area and Nature Center,A,A,A,A,A,09/18/2015
REGIONAL,Kenneth Hahn State Recreation Area,C,C,C,B,B,09/20/2015
SOUTH,Ladera Park,D,B,B,A,A,09/20/2015
EAST,Avenue Park,A,A,A,B,A,09/21/2015
REGIONAL,Castaic Lake State Recreation Area,C,C,C,F,F,09/22/2015
REGIONAL,Whittier Narrows Recreation Area,C,D,,C,D,09/22/2015
EAST,Loma Alta Park,A,A,A,A,A,09/23/2015
EAST,Loma Alta Park,A,A,A,A,A,09/23/2015
NORTH,West Creek Park,A,A,A,A,A,09/23/2015
NORTH,West Creek Park,A,A,A,A,A,09/23/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,09/23/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,09/23/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,09/23/2015
NORTH,El Cariso Community Regional Park,A,A,A,A,A,09/23/2015
EAST,Belvedere Community Regional Park,A,A,,A,A,09/23/2015
SOUTH,William Steinmetz Park,C,C,C,A,C,09/23/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,A,A,A,09/23/2015
NORTH,Dr. Richard H. Rioux Memorial Park,A,A,,A,A,09/23/2015
NORTH,Pearblossom County Park,A,A,,A,A,09/23/2015
NORTH,Pearblossom County Park,A,A,A,A,A,09/23/2015
